geoid,name,B19083001,"B19083001, Error"
05000US08025,"Crowley County, CO",0.4013,0.0298
05000US08027,"Custer County, CO",0.4154,0.0451
05000US08029,"Delta County, CO",0.4805,0.0229
05000US08031,"Denver County, CO",0.4909,0.0044
05000US08033,"Dolores County, CO",0.4306,0.0563
05000US08035,"Douglas County, CO",0.3993,0.008
05000US08037,"Eagle County, CO",0.4694,0.0267
05000US08039,"Elbert County, CO",0.4013,0.0232
05000US08041,"El Paso County, CO",0.4322,0.0048
05000US08043,"Fremont County, CO",0.4364,0.0241
05000US08045,"Garfield County, CO",0.4031,0.0172
05000US08047,"Gilpin County, CO",0.4468,0.0763
05000US08049,"Grand County, CO",0.4137,0.0272
05000US08051,"Gunnison County, CO",0.4321,0.0254
05000US08053,"Hinsdale County, CO",0.4427,0.0498
05000US08055,"Huerfano County, CO",0.4341,0.0314
05000US08057,"Jackson County, CO",0.3906,0.06
05000US08059,"Jefferson County, CO",0.4329,0.0048
05000US08061,"Kiowa County, CO",0.4434,0.0509
05000US08063,"Kit Carson County, CO",0.4595,0.0883
05000US08065,"Lake County, CO",0.4414,0.0452
05000US08067,"La Plata County, CO",0.4703,0.0258
05000US08069,"Larimer County, CO",0.4463,0.008
05000US08071,"Las Animas County, CO",0.4708,0.0248
05000US08073,"Lincoln County, CO",0.4737,0.0397
05000US08075,"Logan County, CO",0.4217,0.0264
05000US08077,"Mesa County, CO",0.4419,0.0112
05000US08079,"Mineral County, CO",0.3755,0.0409
05000US08081,"Moffat County, CO",0.4418,0.0258
05000US08083,"Montezuma County, CO",0.4162,0.0192
05000US08085,"Montrose County, CO",0.4518,0.0226
05000US08087,"Morgan County, CO",0.4076,0.0206
05000US08089,"Otero County, CO",0.4568,0.0218
05000US08091,"Ouray County, CO",0.4666,0.041
05000US08093,"Park County, CO",0.3978,0.0334
05000US08095,"Phillips County, CO",0.3953,0.0356
05000US08097,"Pitkin County, CO",0.509,0.0531
05000US08099,"Prowers County, CO",0.4428,0.0247
05000US08101,"Pueblo County, CO",0.4547,0.009
05000US08103,"Rio Blanco County, CO",0.4096,0.0306
05000US08105,"Rio Grande County, CO",0.4661,0.0246
05000US08107,"Routt County, CO",0.4632,0.0267
05000US08109,"Saguache County, CO",0.4521,0.0295
05000US08111,"San Juan County, CO",0.3974,0.0529
05000US08113,"San Miguel County, CO",0.5175,0.0447
05000US08115,"Sedgwick County, CO",0.5065,0.0512
05000US08117,"Summit County, CO",0.405,0.0285
05000US08119,"Teller County, CO",0.4099,0.0254
05000US08121,"Washington County, CO",0.4305,0.0245
05000US08123,"Weld County, CO",0.4157,0.0078
05000US08125,"Yuma County, CO",0.4235,0.0309
05000US09001,"Fairfield County, CT",0.5422,0.0038
05000US09003,"Hartford County, CT",0.4716,0.0037
05000US09005,"Litchfield County, CT",0.4566,0.0084
05000US09007,"Middlesex County, CT",0.4462,0.0091
05000US09009,"New Haven County, CT",0.4691,0.0047
05000US09011,"New London County, CT",0.4425,0.0065
05000US09013,"Tolland County, CT",0.4383,0.0126
05000US09015,"Windham County, CT",0.4217,0.0105
05000US10001,"Kent County, DE",0.4279,0.0105
05000US10003,"New Castle County, DE",0.4584,0.0061
05000US10005,"Sussex County, DE",0.4505,0.0087
05000US11001,"District of Columbia, DC",0.5269,0.005
05000US12001,"Alachua County, FL",0.5111,0.0083
05000US12003,"Baker County, FL",0.422,0.0275
05000US12005,"Bay County, FL",0.4427,0.0105
05000US12007,"Bradford County, FL",0.4487,0.032
05000US12009,"Brevard County, FL",0.4505,0.006
05000US12011,"Broward County, FL",0.4884,0.0041
05000US12013,"Calhoun County, FL",0.4571,0.05
05000US12015,"Charlotte County, FL",0.4602,0.0137
05000US12017,"Citrus County, FL",0.4517,0.0151
05000US12019,"Clay County, FL",0.4171,0.0124
05000US12021,"Collier County, FL",0.5257,0.0084
05000US12023,"Columbia County, FL",0.4589,0.0182
05000US12027,"DeSoto County, FL",0.4404,0.0243
05000US12029,"Dixie County, FL",0.4751,0.0356
05000US12031,"Duval County, FL",0.4704,0.0055
05000US12033,"Escambia County, FL",0.4448,0.0078
05000US12035,"Flagler County, FL",0.4359,0.015
05000US12037,"Franklin County, FL",0.5056,0.0402
05000US12039,"Gadsden County, FL",0.4448,0.0193
05000US12041,"Gilchrist County, FL",0.4266,0.0244
05000US12043,"Glades County, FL",0.4343,0.0233
05000US12045,"Gulf County, FL",0.4158,0.0241
05000US12047,"Hamilton County, FL",0.4683,0.0291
05000US12049,"Hardee County, FL",0.4684,0.0405
05000US12051,"Hendry County, FL",0.4681,0.0303
05000US12053,"Hernando County, FL",0.4293,0.0113
05000US12055,"Highlands County, FL",0.4855,0.026
05000US12057,"Hillsborough County, FL",0.4787,0.0031
05000US12059,"Holmes County, FL",0.4525,0.0293
05000US12061,"Indian River County, FL",0.5246,0.0161
05000US12063,"Jackson County, FL",0.4585,0.0206
05000US12065,"Jefferson County, FL",0.4601,0.026
05000US12067,"Lafayette County, FL",0.4203,0.0408
05000US12069,"Lake County, FL",0.4231,0.0078
05000US12071,"Lee County, FL",0.4798,0.0065
05000US12073,"Leon County, FL",0.4896,0.008
05000US12075,"Levy County, FL",0.4524,0.0263
05000US12077,"Liberty County, FL",0.4305,0.0414
05000US12079,"Madison County, FL",0.4797,0.043
05000US12081,"Manatee County, FL",0.4709,0.0076
05000US12083,"Marion County, FL",0.4544,0.0107
05000US12085,"Martin County, FL",0.5278,0.0151
05000US12086,"Miami-Dade County, FL",0.5231,0.0034
05000US12087,"Monroe County, FL",0.5049,0.0164
05000US12089,"Nassau County, FL",0.4433,0.0146
05000US12091,"Okaloosa County, FL",0.4328,0.0083
05000US12093,"Okeechobee County, FL",0.4556,0.0288
05000US12095,"Orange County, FL",0.4848,0.0059
05000US12097,"Osceola County, FL",0.4258,0.0115
05000US12099,"Palm Beach County, FL",0.5219,0.0037
05000US12101,"Pasco County, FL",0.4517,0.0053
05000US12103,"Pinellas County, FL",0.4851,0.005
05000US12105,"Polk County, FL",0.4452,0.0059
05000US12107,"Putnam County, FL",0.4584,0.0167
05000US12109,"St. Johns County, FL",0.4667,0.0082
05000US12111,"St. Lucie County, FL",0.4416,0.0106
05000US12113,"Santa Rosa County, FL",0.4196,0.0123
05000US12115,"Sarasota County, FL",0.4809,0.0066
05000US12117,"Seminole County, FL",0.4568,0.0068
05000US12119,"Sumter County, FL",0.4354,0.0148
05000US12121,"Suwannee County, FL",0.459,0.0509
05000US12123,"Taylor County, FL",0.4115,0.022
05000US12125,"Union County, FL",0.4873,0.0816
05000US12127,"Volusia County, FL",0.4594,0.0069
05000US12129,"Wakulla County, FL",0.4175,0.031
05000US12131,"Walton County, FL",0.483,0.0181
05000US12133,"Washington County, FL",0.4277,0.0185
05000US13001,"Appling County, GA",0.4586,0.0262
05000US13003,"Atkinson County, GA",0.4735,0.0434
05000US13005,"Bacon County, GA",0.462,0.0378
05000US13007,"Baker County, GA",0.4874,0.0408
05000US13009,"Baldwin County, GA",0.4639,0.0239
